MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-2-9,44,29,14,26,19,12,92,70,48,30.66,30.57,30.49,10,10,10,7,2,8,0.00,0,,87
2016-2-10,48,29,9,28,16,6,92,73,53,30.54,30.44,30.39,10,5,0,10,3,12,0.00,0,Fog,36
2016-2-11,43,28,13,28,21,13,92,74,55,30.50,30.44,30.38,10,9,5,9,2,9,0.00,0,,39
2016-2-12,50,32,14,28,22,15,92,67,42,30.47,30.37,30.28,10,9,7,6,2,7,0.00,0,,64
2016-2-13,54,36,18,28,21,16,84,55,26,30.31,30.26,30.19,10,10,10,12,4,13,0.00,0,,87
2016-2-14,50,33,16,27,21,13,91,61,31,30.31,30.25,30.18,10,10,10,10,4,14,0.00,0,,30
2016-2-15,51,38,24,33,28,21,92,71,49,30.34,30.25,30.17,10,10,10,8,4,9,0.00,0,,71
2016-2-16,57,41,24,34,28,22,92,64,36,30.24,30.15,30.04,10,10,10,8,3,9,0.00,0,,72
2016-2-17,61,44,26,33,25,21,85,53,21,30.04,29.85,29.70,10,10,10,44,13,66,0.00,1,Rain,206
2016-2-18,56,42,28,38,34,25,92,70,47,30.04,29.83,29.55,10,10,5,46,19,70,0.04,5,Rain,189
2016-2-19,59,42,25,36,26,19,100,65,30,30.11,30.06,30.01,10,10,10,24,8,31,0.00,0,,222
2016-2-20,59,44,28,32,26,18,82,55,28,30.21,30.13,30.05,10,10,10,13,6,15,0.00,0,,12
2016-2-21,58,42,25,31,28,24,92,60,28,30.25,30.16,30.09,10,10,10,10,4,15,0.00,0,,1
2016-2-22,48,38,27,32,27,22,92,71,49,30.12,30.06,30.00,10,10,10,20,7,25,T,5,,32
2016-2-23,43,33,23,23,20,17,84,62,39,30.35,30.23,30.12,10,10,10,21,10,27,0.00,1,,12
2016-2-24,56,38,19,22,17,9,92,55,18,30.38,30.28,30.19,10,10,10,10,3,13,0.00,0,,236
2016-2-25,61,43,24,25,21,18,81,50,19,30.30,30.24,30.18,10,10,10,9,4,12,0.00,0,,73
2016-2-26,65,46,26,27,23,19,78,49,19,30.30,30.19,30.08,10,10,10,12,3,14,0.00,0,,167
2016-2-27,68,51,34,27,23,20,64,40,16,30.10,30.01,29.93,10,10,10,16,7,20,0.00,0,,185
2016-2-28,61,46,30,29,27,23,72,50,28,30.14,30.09,30.04,10,10,10,14,4,17,0.00,0,,2
2016-2-29,64,47,29,31,25,19,85,52,19,30.14,30.09,30.02,10,10,10,18,5,22,0.00,0,,218
2016-3-1,66,48,30,27,24,21,75,48,20,30.22,30.11,29.96,10,10,10,16,6,20,0.00,0,,205
2016-3-2,66,50,34,28,20,9,64,38,11,30.10,30.04,29.97,10,10,10,13,5,14,0.00,0,,126
2016-3-3,67,49,30,28,20,12,69,42,14,30.13,30.04,29.97,10,10,10,22,8,29,0.00,0,,217
2016-3-4,68,49,30,24,18,9,63,37,10,30.07,29.97,29.89,10,10,10,20,7,26,0.00,0,,174
2016-3-5,64,51,37,41,24,16,66,42,17,29.92,29.86,29.81,10,10,10,25,13,32,T,3,Rain,205
2016-3-6,54,43,31,44,34,28,92,73,54,29.82,29.73,29.55,10,6,0,35,18,46,0.44,6,Fog-Rain-Snow-Thunderstorm,211
2016-3-7,48,37,25,32,27,20,89,66,42,29.82,29.75,29.66,10,10,10,23,6,29,0.00,2,,148
2016-3-8,53,39,24,29,24,15,92,58,24,29.93,29.86,29.78,10,10,10,13,4,16,0.00,0,,89
2016-3-9,57,46,34,27,23,18,69,45,21,30.12,29.99,29.85,10,10,10,16,6,20,0.00,2,,121
2016-3-10,68,48,27,30,27,24,85,55,24,30.17,30.06,29.96,10,10,10,22,7,27,0.00,0,,207
2016-3-11,64,52,39,27,24,20,59,40,21,29.96,29.81,29.59,10,10,10,29,14,38,T,1,,187
2016-3-12,52,42,32,34,31,27,96,63,29,30.06,29.86,29.58,10,10,10,31,12,38,0.03,4,Rain,207
2016-3-13,57,44,31,32,28,24,89,61,32,30.01,29.92,29.84,10,10,10,26,12,34,0.00,1,,206
2016-3-14,57,42,27,36,25,0,70,41,12,30.03,29.89,29.83,10,10,10,26,12,37,0.00,1,,220
2016-3-15,57,39,21,24,17,7,88,53,17,30.19,30.11,30.01,10,10,10,24,5,29,0.00,0,,237
2016-3-16,59,42,24,23,18,9,74,45,15,30.21,30.12,30.04,10,10,10,10,4,14,0.00,0,,164
2016-3-17,65,46,26,22,18,16,68,42,15,30.05,29.95,29.86,10,10,10,20,6,26,0.00,0,,336
2016-3-18,62,44,26,24,18,7,75,44,12,30.12,30.01,29.89,10,10,10,16,5,22,0.00,0,,305
2016-3-19,65,45,24,24,19,14,69,43,16,30.17,30.10,30.04,10,10,10,8,3,13,0.00,0,,72
2016-3-20,71,50,29,26,21,18,69,42,15,30.12,30.03,29.93,10,10,10,23,9,29,0.00,0,,202
2016-3-21,67,59,50,20,15,7,28,21,13,29.90,29.81,29.65,10,10,10,32,22,42,0.00,0,,202
2016-3-22,54,41,27,30,24,11,92,55,18,30.02,29.81,29.60,10,8,1,29,12,38,0.08,6,Snow,346
2016-3-23,48,34,20,26,22,19,92,65,38,30.25,30.17,30.03,10,10,10,22,9,28,0.00,3,,30
2016-3-24,60,40,20,22,20,17,88,54,19,30.27,30.09,29.92,10,10,10,18,5,23,0.00,1,,193
2016-3-25,60,47,34,22,18,3,61,36,11,29.92,29.84,29.72,10,10,10,23,7,32,0.00,1,,188
2016-3-26,49,37,25,25,20,17,78,55,31,30.15,29.99,29.81,10,10,9,23,9,32,T,3,Snow,12
2016-3-27,62,43,23,23,16,8,81,48,15,30.14,30.02,29.81,10,10,10,24,7,30,0.00,1,,210
2016-3-28,59,50,41,36,26,15,36,29,21,29.81,29.56,29.34,10,7,1,43,20,57,0.00,5,Rain-Snow,195
2016-3-29,42,36,30,30,27,19,85,70,54,29.81,29.64,29.39,10,6,0,31,22,41,T,7,Fog-Snow,208
2016-3-30,45,32,19,26,22,18,96,71,45,30.01,29.90,29.79,10,10,10,12,4,15,0.00,2,,3
2016-3-31,50,36,22,33,26,20,88,71,53,30.06,30.00,29.96,10,10,10,18,5,23,0.00,3,Rain,11
2016-4-1,57,42,26,33,28,25,92,62,32,30.24,30.14,30.05,10,10,10,18,7,23,0.00,2,Rain,16
2016-4-2,64,45,25,29,27,22,88,56,24,30.29,30.19,30.09,10,10,10,14,5,19,0.00,0,,181
2016-4-3,69,50,31,34,27,23,75,48,20,30.14,30.07,30.01,10,10,10,14,3,17,0.00,0,,197
2016-4-4,69,51,33,33,24,19,70,44,18,30.14,30.07,30.03,10,10,10,21,9,27,0.00,0,,178
2016-4-5,65,48,31,33,24,15,75,48,20,30.33,30.19,30.06,10,10,10,22,8,29,0.00,0,,11
2016-4-6,68,46,24,26,21,15,68,44,19,30.44,30.33,30.23,10,10,10,18,8,27,0.00,0,,21
2016-4-7,73,52,31,31,28,25,75,49,22,30.21,30.05,29.90,10,10,10,14,3,17,0.00,0,,1
2016-4-8,66,54,41,46,35,24,86,57,28,29.98,29.88,29.83,10,10,9,26,6,33,0.03,3,Rain,167
2016-4-9,54,49,43,45,42,38,92,79,66,30.01,29.91,29.81,10,9,4,28,10,35,0.21,7,Rain,210
2016-4-10,61,49,36,42,38,32,100,69,37,29.94,29.84,29.73,10,9,2,28,8,35,0.12,4,Rain,214
2016-4-11,61,47,32,43,36,31,92,68,44,30.05,30.01,29.93,10,10,10,16,5,21,0.01,2,,176
2016-4-12,67,50,32,38,35,29,92,59,26,30.09,30.03,29.98,10,10,10,18,5,27,0.00,0,,215
2016-4-13,66,52,37,39,33,29,67,48,29,30.05,29.97,29.86,10,10,10,25,11,33,0.00,0,,191
2016-4-14,67,56,44,37,35,30,65,48,31,29.84,29.72,29.62,10,10,10,31,16,40,0.00,2,Rain,195
2016-4-15,46,39,32,36,31,23,92,81,70,29.99,29.80,29.66,10,7,0,32,10,43,0.18,7,Fog-Rain-Snow,20
2016-4-16,54,44,34,28,24,18,70,47,24,30.13,30.04,29.98,10,10,10,31,19,44,0.00,4,,3
2016-4-17,59,44,28,25,22,18,75,49,23,30.17,30.12,30.08,10,10,10,23,11,32,0.00,0,,358
2016-4-18,62,44,26,25,22,20,69,46,22,30.20,30.15,30.10,10,10,10,18,5,24,0.00,0,,30
2016-4-19,67,49,30,28,25,21,72,46,20,30.14,30.06,29.95,10,10,10,13,4,16,0.00,0,,85
2016-4-20,75,54,33,32,25,20,75,45,14,29.97,29.92,29.88,10,10,10,20,6,27,0.00,0,,196
2016-4-21,76,58,39,29,22,17,49,31,13,29.96,29.88,29.81,10,10,10,22,7,27,0.00,0,,199
2016-4-22,74,59,44,24,21,14,41,28,14,29.93,29.76,29.55,10,10,8,36,15,50,0.00,0,,191
2016-4-23,61,51,41,29,24,16,55,40,25,29.94,29.78,29.54,10,10,10,38,17,51,0.00,4,,255
2016-4-24,66,48,29,29,23,18,66,42,17,29.94,29.82,29.65,10,10,10,23,6,28,0.00,2,,188
2016-4-25,52,44,36,37,33,25,85,61,36,29.72,29.58,29.46,10,10,4,33,13,45,0.02,6,Rain-Snow-Thunderstorm,206
2016-4-26,53,44,35,41,36,33,92,76,59,29.94,29.83,29.69,10,10,7,10,3,14,0.10,8,Rain,141
2016-4-27,52,45,38,40,38,36,93,74,54,29.88,29.76,29.61,10,10,4,17,4,22,0.02,8,Rain,218
2016-4-28,52,43,33,39,36,32,100,75,50,29.84,29.67,29.58,10,6,0,16,5,19,0.06,7,Fog-Rain,246
2016-4-29,55,47,39,41,38,32,93,69,45,29.93,29.84,29.77,10,10,8,23,5,30,0.05,6,Rain-Thunderstorm,6
2016-4-30,51,45,38,43,39,37,92,79,66,29.86,29.80,29.73,10,9,6,20,5,25,0.16,8,Rain-Thunderstorm,23
2016-5-1,57,45,32,37,35,31,100,72,43,30.02,29.93,29.86,10,10,10,17,5,22,T,4,,81
2016-5-2,63,52,41,43,37,32,93,64,34,30.17,30.09,30.01,10,10,9,15,3,20,0.09,5,Rain-Thunderstorm,148
2016-5-3,71,52,33,39,34,26,96,61,26,30.16,30.09,30.01,10,10,10,12,4,17,0.00,0,,142
2016-5-4,77,59,41,38,31,25,70,43,15,30.13,29.94,29.83,10,10,10,28,8,40,0.00,0,,159
2016-5-5,78,61,44,38,30,17,70,42,14,29.83,29.74,29.61,10,10,10,32,11,42,0.00,0,,186
2016-5-6,67,56,44,36,29,15,61,38,15,29.90,29.71,29.60,10,10,10,28,12,38,0.00,3,Rain-Thunderstorm,177
2016-5-7,58,45,32,38,34,29,85,63,40,29.92,29.83,29.74,10,10,10,25,9,32,T,3,Thunderstorm,211
2016-5-8,57,48,38,45,40,34,86,70,54,29.85,29.79,29.75,10,10,5,21,8,25,0.11,7,Rain,208
2016-5-9,70,58,45,44,41,38,83,59,35,29.81,29.76,29.71,10,10,10,22,11,30,0.00,3,,205
2016-5-10,64,53,41,40,31,27,70,49,27,30.06,29.93,29.77,10,10,10,20,6,26,0.00,4,,357
2016-5-11,67,51,35,30,26,22,65,43,20,30.19,30.13,30.07,10,10,10,16,5,21,0.00,1,,13
2016-5-12,78,54,30,31,27,23,75,44,13,30.24,30.14,30.05,10,10,10,15,4,20,0.00,0,,202
2016-5-13,83,62,40,36,26,12,62,35,7,30.22,30.02,29.92,10,10,10,23,7,29,0.00,0,,201
2016-5-14,82,63,44,38,33,25,62,38,13,29.92,29.82,29.66,10,10,10,31,12,39,0.00,0,,180
2016-5-15,75,66,57,40,34,25,51,35,19,29.70,29.63,29.58,10,10,10,25,14,34,0.00,1,,199
2016-5-16,62,49,36,40,36,33,92,66,39,29.95,29.82,29.71,10,10,10,26,5,34,T,2,Rain-Thunderstorm,347
2016-5-17,68,53,37,41,37,33,85,58,31,30.06,29.95,29.90,10,10,10,20,6,24,0.00,3,Rain-Thunderstorm,23
2016-5-18,73,55,37,39,36,32,92,60,27,30.03,29.96,29.88,10,10,10,20,5,24,0.00,2,,43
2016-5-19,77,61,45,40,34,28,56,38,20,29.89,29.73,29.53,10,10,7,28,13,36,0.00,1,,183
2016-5-20,75,68,61,34,26,17,34,25,15,29.54,29.50,29.46,10,10,10,40,27,54,0.00,0,,189
2016-5-21,66,59,52,28,18,8,32,22,12,29.82,29.67,29.51,10,10,10,40,24,50,0.00,2,,210
2016-5-22,66,50,33,24,19,13,51,35,19,29.88,29.84,29.80,10,10,10,20,8,26,0.00,1,,204
2016-5-23,70,52,33,26,20,13,69,40,11,29.82,29.76,29.69,10,10,10,21,7,28,0.00,0,,223
2016-5-24,69,57,44,28,24,18,45,33,20,29.91,29.76,29.68,10,10,10,40,14,54,0.00,1,,184
2016-5-25,71,54,36,29,22,11,55,32,9,29.93,29.87,29.82,10,10,10,22,7,29,0.00,1,,193
2016-5-26,68,54,39,39,34,26,62,43,24,30.02,29.91,29.84,10,10,10,24,5,31,0.01,4,Rain-Thunderstorm,356
2016-5-27,70,52,33,37,33,29,92,59,25,30.00,29.88,29.80,10,10,10,22,4,27,T,2,,213
2016-5-28,78,60,42,36,30,23,70,42,14,30.00,29.86,29.80,10,10,10,16,6,23,0.00,2,,261
2016-5-29,82,63,43,37,32,17,65,37,9,30.06,29.92,29.82,10,10,10,23,6,28,0.00,1,Rain-Thunderstorm,111
2016-5-30,83,61,39,37,33,28,76,46,16,29.97,29.91,29.85,10,10,10,30,7,37,0.00,0,,26
2016-5-31,81,62,42,34,29,22,65,38,11,29.94,29.89,29.83,10,10,10,18,6,24,0.00,0,,7
2016-6-1,84,62,40,29,20,12,49,28,7,29.98,29.92,29.86,10,10,10,13,4,18,0.00,0,,32
2016-6-2,91,66,41,31,21,17,49,28,7,30.15,29.96,29.91,10,10,7,21,6,27,0.00,0,,197
2016-6-3,92,71,49,30,25,19,35,22,8,30.09,30.02,29.96,10,10,10,14,6,20,0.00,0,,31
2016-6-4,94,70,46,32,29,24,50,29,8,30.07,29.99,29.89,10,10,10,14,3,18,0.00,0,,24
